Country,State,Date,Confirmed_Cases,Recovered_Cases,Deaths,Active_Cases,Tests_Conducted,Hospitalized,Vaccination_Status
Italy,State_C,44283,20079,49786,1953,32591,150302,5355,
Brazil,State_B,44284,36220,1925,4737,28047,149934,9083,Yes
USA,State_D,44285,41874,26015,3850,34782,437571,5574,Yes
USA,State_A,44286,13859,33320,689,9833,425475,13324,
UK,State_B,44287,50460,64881,1950,7896,231147,2257,No
USA,State_A,44288,31419,26289,456,32972,481661,13411,
UK,State_D,44289,8705,3389,2130,49733,31795,15233,
Spain,State_C,44290,42880,25683,3976,54827,271914,15887,No
India,State_D,44291,23236,13629,4244,41800,12093,19621,
Brazil,State_B,44292,87955,61550,1179,30508,440787,2005,
UK,State_C,44293,85514,24826,4285,5347,394409,18400,
India,State_B,44294,15358,26630,3565,59063,363455,10860,No
USA,State_C,44295,99713,46163,882,30314,280713,10070,Yes
USA,State_A,44296,94914,66435,399,2643,274334,9388,Yes
India,State_A,44297,76918,11653,608,40785,325968,18156,No
USA,State_A,44298,14596,27961,1638,18681,174824,18135,Yes
Spain,State_D,44299,33572,74137,2148,50026,164399,14609,
Spain,State_B,44300,78757,33662,1382,38328,305214,16363,Yes
India,State_D,44301,1279,56446,1403,15892,480141,19604,
UK,State_A,44302,63197,21288,819,47299,41197,16923,Yes
UK,State_B,44303,62516,36877,3292,17073,3261,14823,No
India,State_A,44304,7083,15313,819,36768,488121,17845,Yes
UK,State_D,44305,17771,72715,419,30682,158584,8547,Yes
UK,State_D,44306,29975,10326,4219,32262,400932,11515,Yes
Spain,State_D,44307,45648,1560,4517,31358,349939,234,No
UK,State_A,44308,48285,79148,3302,58766,292077,14562,Yes
Italy,State_B,44309,19063,26745,1508,14289,136450,17932,No
Brazil,State_B,44310,67642,31890,767,49823,41583,7480,
USA,State_A,44311,90093,20022,2044,7927,375226,4213,Yes
Italy,State_B,44312,86143,52579,2139,48330,348515,10293,No
UK,State_A,44313,37599,70316,3029,1171,161105,1673,No
Spain,State_B,44314,51920,28380,1549,54743,418216,2100,Yes
India,State_C,44315,28529,2356,1764,11918,112032,11849,
UK,State_C,44316,35954,70326,2645,41903,207940,19557,No
Spain,State_D,44317,27856,20049,3716,39110,305748,18199,Yes
Brazil,State_C,44318,2573,75717,4605,50601,462552,3841,
UK,State_C,44319,78344,16082,4481,11929,358218,10197,No
India,State_C,44320,35367,661,2293,2539,227727,8016,No
Spain,State_A,44321,99608,37412,4837,36727,74869,7011,
Spain,State_C,44322,60774,2920,2708,45951,268554,4493,
Spain,State_C,44323,23752,60315,900,22669,346519,17058,Yes
Brazil,State_D,44324,55029,79561,3084,5432,188116,8578,Yes
UK,State_C,44325,17685,8946,2009,20644,195387,2158,No
Brazil,State_C,44326,51693,45500,241,18745,359199,19045,
USA,State_B,44327,55961,16309,2385,55316,203416,2064,
USA,State_D,44328,76908,55230,4268,28228,401012,3253,
UK,State_D,44329,74532,30027,671,52822,87716,12828,No
Brazil,State_D,44330,81994,72541,163,34521,55245,1401,
